VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
          4,           0,           3,      -4.101216193,      -1.612979666,      -1.500929562,       1.386635781,      -2.240641012,       2.959544776,     0.05152541469,     -0.3158720554,                 0,                 0,                 0,     0.02842311452,     0.05152541469,     -0.3158720554,                 0,      -6.130412677,              -nan,     -0.2816908477,     -0.2268908231,     -0.1794260407,     -0.3108493074,     -0.8536634496,     -0.4482180629
          4,           0,           4,      -4.139600591,      -1.647465617,      -1.526938578,       1.338977044,      -2.255271857,       2.950820889,     0.05003347333,     -0.3047318903,                 0,                 0,                 0,     0.03570915596,     0.05003347333,     -0.3047318903,                 0,      -6.090560378,              -nan,     -0.3200752461,     -0.2613767733,     -0.2054350565,     -0.3585080451,     -0.8682942945,       -0.45694195
          5,           0,           0,      -2.296252555,      0.1158694004,      0.1482211103,       3.136425486,       1.204524462,       5.868205543,     0.04628784401,     -0.2746313579,                 0,                 0,                 0,     0.04917155293,     0.04628784401,     -0.2746313579,                 0,      -5.933120536,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          5,           0,           1,      -2.781667948,      -0.419645852,     -0.3970953547,       2.669316055,    -0.02624068295,       5.104371277,     0.04411966647,     -0.2613019161,                 0,                 0,                 0,     0.05679835784,     0.04411966647,     -0.2613019161,                 0,      -5.922572335,              -nan,     -0.4854153927,     -0.5355152524,      -0.545316465,     -0.4671094309,      -1.230765145,     -0.7638342655
          5,           0,           2,      -3.176035632,     -0.8054460499,     -0.7945996353,        2.30038012,      -0.912915131,       3.997785544,     0.04204364532,     -0.2517224192,                 0,                 0,                 0,      0.0631591121,     0.04204364532,     -0.2517224192,                 0,      -5.987169221,              -nan,     -0.8797830772,     -0.9213154503,     -0.9428207456,     -0.8360453656,      -2.117439593,      -1.870419999
          5,           0,           3,      -3.527631645,      -1.071868217,      -1.071914205,       1.979367273,      -2.157595106,       3.001271386,     0.03988894805,     -0.2432133941,                 0,                 0,                 0,     0.06892676998,     0.03988894805,     -0.2432133941,                 0,      -6.097262676,              -nan,       -1.23137909,      -1.187737618,      -1.220135315,      -1.157058213,      -3.362119568,      -2.866934157
          5,           0,           4,       -3.82641861,      -1.267129233,      -1.267975119,       1.707503455,      -2.294932566,       2.976302415,     0.03769213348,     -0.2356048891,                 0,                 0,                 0,     0.07405667587,     0.03769213348,     -0.2356048891,                 0,      -6.250770848,              -nan,      -1.530166055,      -1.382998633,      -1.416196229,      -1.428922031,      -3.499457028,      -2.891903128
          5,           0,           0,      -4.045019393,      -1.406774192,       -1.39771342,       1.492023364,      -2.311181958,       2.949254735,     0.03577120334,     -0.2320529204,                 0,                 0,                 0,     0.07686444471,     0.03577120334,     -0.2320529204,                 0,      -6.487143254,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          5,           0,           1,      -4.172951665,      -1.504689951,      -1.483651725,       1.341022058,      -2.325790272,       2.918828835,      0.0336209233,      -0.225902202,                 0,                 0,                 0,     0.08113831767,      0.0336209233,      -0.225902202,                 0,      -6.719095722,              -nan,     -0.1279322718,    -0.09791575915,     -0.0859383048,     -0.1510013065,    -0.01460831432,    -0.03042590067
          5,           0,           2,       -4.23968922,      -1.574391236,       -1.54333362,       1.249229359,      -2.339459159,       2.876456934,     0.03156037364,     -0.2202328676,                 0,                 0,                 0,     0.08515682768,     0.03156037364,     -0.2202328676,                 0,      -6.978145129,              -nan,     -0.1946698265,     -0.1676170438,     -0.1456202003,      -0.242794005,    -0.02827720114,      -0.072797801
